Tactic,Feature,Importance (%),Samples
Reconnaissance,TEXT_ABSTRACT,66.76608545433234,4
Reconnaissance,TEXT_CWE,28.436411243415318,4
Reconnaissance,TEXT_CPE,4.034481338451877,4
Reconnaissance,EPSS,0.3068994922424094,4
Reconnaissance,CVSS_C,0.0449539170064469,4
Reconnaissance,CVSS_I,0.3877318400047621,4
Reconnaissance,CVSS_A,0.02343671454684577,4
Resource Development,TEXT_ABSTRACT,62.38257099707552,2
Resource Development,TEXT_CWE,29.17126834543645,2
Resource Development,TEXT_CPE,7.64063953336858,2
Resource Development,EPSS,0.24184748573239404,2
Resource Development,CVSS_C,0.24749488969552302,2
Resource Development,CVSS_I,0.10226999755445142,2
Resource Development,CVSS_A,0.21390875113708008,2
Initial Access,TEXT_ABSTRACT,66.66681898944094,15
Initial Access,TEXT_CWE,29.61886884031577,15
Initial Access,TEXT_CPE,2.8062068269747877,15
Initial Access,EPSS,0.22792547106306307,15
Initial Access,CVSS_C,0.2506647121139947,15
Initial Access,CVSS_I,0.32431061421993407,15
Initial Access,CVSS_A,0.10520454587151662,15
Execution,TEXT_ABSTRACT,69.16910130444111,37
Execution,TEXT_CWE,26.763399064251097,37
Execution,TEXT_CPE,3.3733052446285905,37
Execution,EPSS,0.14709336679052654,37
Execution,CVSS_C,0.30457449732541786,37
Execution,CVSS_I,0.18382692040013307,37
Execution,CVSS_A,0.05869960216311769,37
Persistence,TEXT_ABSTRACT,63.19614975360461,40
Persistence,TEXT_CWE,32.272946701638205,40
Persistence,TEXT_CPE,4.2078723053449245,40
Persistence,EPSS,0.045238365876009566,40
Persistence,CVSS_C,0.09069789284735391,40
Persistence,CVSS_I,0.026797920559536333,40
Persistence,CVSS_A,0.16029706012936526,40
Privilege Escalation,TEXT_ABSTRACT,64.82446945992525,47
Privilege Escalation,TEXT_CWE,30.889607212405732,47
Privilege Escalation,TEXT_CPE,3.9046124148710097,47
Privilege Escalation,EPSS,0.0561073464411492,47
Privilege Escalation,CVSS_C,0.10984268340413353,47
Privilege Escalation,CVSS_I,0.08911613896214012,47
Privilege Escalation,CVSS_A,0.1262447439905795,47
Defense Evasion,TEXT_ABSTRACT,68.87950068108651,142
Defense Evasion,TEXT_CWE,26.9923454393507,142
Defense Evasion,TEXT_CPE,3.9849053110079993,142
Defense Evasion,EPSS,0.03880734126982033,142
Defense Evasion,CVSS_C,0.03004803038261803,142
Defense Evasion,CVSS_I,0.03148815212863277,142
Defense Evasion,CVSS_A,0.042905044773722846,142
Credential Access,TEXT_ABSTRACT,52.459080358388334,14
Credential Access,TEXT_CWE,42.52089613608798,14
Credential Access,TEXT_CPE,4.625969379135085,14
Credential Access,EPSS,0.052741344906525406,14
Credential Access,CVSS_C,0.1424650716505647,14
Credential Access,CVSS_I,0.12724193174324316,14
Credential Access,CVSS_A,0.07160577808826703,14
Discovery,TEXT_ABSTRACT,73.91541781608828,57
Discovery,TEXT_CWE,21.632569691257228,57
Discovery,TEXT_CPE,4.220594675084576,57
Discovery,EPSS,0.03172306148503851,57
Discovery,CVSS_C,0.03931007309755356,57
Discovery,CVSS_I,0.05438794404287208,57
Discovery,CVSS_A,0.10599673894445663,57
Lateral Movement,TEXT_ABSTRACT,66.2905584885347,16
Lateral Movement,TEXT_CWE,29.967695325709165,16
Lateral Movement,TEXT_CPE,3.4233452308075636,16
Lateral Movement,EPSS,0.07308139014197791,16
Lateral Movement,CVSS_C,0.12413776147524806,16
Lateral Movement,CVSS_I,0.07453663683370168,16
Lateral Movement,CVSS_A,0.046645166497638564,16
Collection,TEXT_ABSTRACT,74.83629911262202,13
Collection,TEXT_CWE,21.367180038565113,13
Collection,TEXT_CPE,3.0215097213016007,13
Collection,EPSS,0.2052927058652826,13
Collection,CVSS_C,0.20687391025029714,13
Collection,CVSS_I,0.1500602700340803,13
Collection,CVSS_A,0.21278424136161253,13
Command and Control,TEXT_ABSTRACT,70.544986306567,8
Command and Control,TEXT_CWE,24.573469788963457,8
Command and Control,TEXT_CPE,4.059796798275721,8
Command and Control,EPSS,0.2788020452199304,8
Command and Control,CVSS_C,0.19862461688289215,8
Command and Control,CVSS_I,0.231584651058797,8
Command and Control,CVSS_A,0.11273579303220375,8
Impact,TEXT_ABSTRACT,74.29631889323252,5
Impact,TEXT_CWE,22.482778568228763,5
Impact,TEXT_CPE,2.310459748975013,5
Impact,EPSS,0.08549013761236038,5
Impact,CVSS_C,0.37374905245358353,5
Impact,CVSS_I,0.18505341951289359,5
Impact,CVSS_A,0.2661501799848646,5
