Tactic,Feature,Importance (%),Samples
Resource Development,TEXT_ABSTRACT,34.93669156552105,4
Resource Development,TEXT_CWE,61.769439595133726,4
Resource Development,TEXT_CPE,2.9329395938010645,4
Resource Development,EPSS,0.040665619438985744,4
Resource Development,CVSS_C,0.08350089169828658,4
Resource Development,CVSS_I,0.11172985949770181,4
Resource Development,CVSS_A,0.1250328749091851,4
Initial Access,TEXT_ABSTRACT,67.86810059544487,13
Initial Access,TEXT_CWE,26.40344784181318,13
Initial Access,TEXT_CPE,4.31345648699172,13
Initial Access,EPSS,0.5524632459217136,13
Initial Access,CVSS_C,0.18880461278217403,13
Initial Access,CVSS_I,0.3604894565125661,13
Initial Access,CVSS_A,0.3132377605337688,13
Execution,TEXT_ABSTRACT,63.41207733905553,34
Execution,TEXT_CWE,30.784324270006355,34
Execution,TEXT_CPE,4.964616925852333,34
Execution,EPSS,0.34798129640511455,34
Execution,CVSS_C,0.0979184438444351,34
Execution,CVSS_I,0.1504382361729278,34
Execution,CVSS_A,0.24264348866330857,34
Persistence,TEXT_ABSTRACT,59.133621757468354,41
Persistence,TEXT_CWE,33.78507553591344,41
Persistence,TEXT_CPE,6.547146595123958,41
Persistence,EPSS,0.1984226395708758,41
Persistence,CVSS_C,0.12896459839501861,41
Persistence,CVSS_I,0.049390936720702106,41
Persistence,CVSS_A,0.1573779368076486,41
Privilege Escalation,TEXT_ABSTRACT,59.88494429598667,42
Privilege Escalation,TEXT_CWE,33.159988599880805,42
Privilege Escalation,TEXT_CPE,6.406285356147174,42
Privilege Escalation,EPSS,0.20081097183846605,42
Privilege Escalation,CVSS_C,0.0659237686880689,42
Privilege Escalation,CVSS_I,0.08288565271197403,42
Privilege Escalation,CVSS_A,0.19916135474684565,42
Defense Evasion,TEXT_ABSTRACT,54.124457647593765,150
Defense Evasion,TEXT_CWE,37.47623456664713,150
Defense Evasion,TEXT_CPE,8.03199047707874,150
Defense Evasion,EPSS,0.06373341473511399,150
Defense Evasion,CVSS_C,0.12125523790119129,150
Defense Evasion,CVSS_I,0.11847833458719609,150
Defense Evasion,CVSS_A,0.06385032145686757,150
Credential Access,TEXT_ABSTRACT,39.855144240519735,12
Credential Access,TEXT_CWE,53.960324314249796,12
Credential Access,TEXT_CPE,5.76135903645223,12
Credential Access,EPSS,0.14560317475049223,12
Credential Access,CVSS_C,0.08184907319372922,12
Credential Access,CVSS_I,0.09131797849709083,12
Credential Access,CVSS_A,0.10440218233692765,12
Discovery,TEXT_ABSTRACT,52.662649026044434,47
Discovery,TEXT_CWE,34.18544672528479,47
Discovery,TEXT_CPE,12.872030199335356,47
Discovery,EPSS,0.10357684746361637,47
Discovery,CVSS_C,0.0593591887445552,47
Discovery,CVSS_I,0.05763776135752333,47
Discovery,CVSS_A,0.059300251769724095,47
Lateral Movement,TEXT_ABSTRACT,60.7125861281965,19
Lateral Movement,TEXT_CWE,33.26041770703958,19
Lateral Movement,TEXT_CPE,5.480315528597847,19
Lateral Movement,EPSS,0.17578571019572428,19
Lateral Movement,CVSS_C,0.07959068735242289,19
Lateral Movement,CVSS_I,0.16017673823244102,19
Lateral Movement,CVSS_A,0.13112750038548235,19
Collection,TEXT_ABSTRACT,57.88656387646745,11
Collection,TEXT_CWE,32.52840244989138,11
Collection,TEXT_CPE,8.6211835481469,11
Collection,EPSS,0.07707467109315283,11
Collection,CVSS_C,0.2612807785168185,11
Collection,CVSS_I,0.22192766987275317,11
Collection,CVSS_A,0.40356700601154555,11
Command and Control,TEXT_ABSTRACT,58.54737992173267,9
Command and Control,TEXT_CWE,31.836157985093912,9
Command and Control,TEXT_CPE,8.793970151139945,9
Command and Control,EPSS,0.08175285398812347,9
Command and Control,CVSS_C,0.22994890732134243,9
Command and Control,CVSS_I,0.10864273401054413,9
Command and Control,CVSS_A,0.4021474467134586,9
Exfiltration,TEXT_ABSTRACT,56.67653486760326,1
Exfiltration,TEXT_CWE,39.359951580384866,1
Exfiltration,TEXT_CPE,3.279837046341849,1
Exfiltration,EPSS,0.1345799990396051,1
Exfiltration,CVSS_C,0.007752089148692264,1
Exfiltration,CVSS_I,0.05571002403541669,1
Exfiltration,CVSS_A,0.4856343934463104,1
Impact,TEXT_ABSTRACT,64.34557104260112,5
Impact,TEXT_CWE,28.41600550929312,5
Impact,TEXT_CPE,6.330981740466081,5
Impact,EPSS,0.1153708894183105,5
Impact,CVSS_C,0.1782076727336011,5
Impact,CVSS_I,0.4989770973915319,5
Impact,CVSS_A,0.11488604809622778,5
